Total clusters, 251

Cluster Index, 0
Size, 18
poly_A, 10
poly_B, 8

Cluster Index, 1
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 2
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 3
Size, 27
poly_A, 13
poly_B, 14

Cluster Index, 4
Size, 32
poly_A, 15
poly_B, 17

Cluster Index, 5
Size, 40
poly_A, 20
poly_B, 20

Cluster Index, 6
Size, 5
poly_A, 3
poly_B, 2

Cluster Index, 8
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 9
Size, 165
poly_A, 81
poly_B, 84

Cluster Index, 11
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 12
Size, 7
poly_A, 4
poly_B, 3

Cluster Index, 13
Size, 64
poly_A, 32
poly_B, 32

Cluster Index, 14
Size, 52
poly_A, 23
poly_B, 29

Cluster Index, 15
Size, 23
poly_A, 10
poly_B, 13

Cluster Index, 16
Size, 10
poly_A, 5
poly_B, 5

Cluster Index, 20
Size, 10
poly_A, 4
poly_B, 6

Cluster Index, 21
Size, 5
poly_A, 3
poly_B, 2

Cluster Index, 22
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 23
Size, 23
poly_A, 13
poly_B, 10

Cluster Index, 24
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 25
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 26
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 27
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 28
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 29
Size, 19
poly_A, 9
poly_B, 10

Cluster Index, 30
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 31
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 33
Size, 9
poly_A, 5
poly_B, 4

Cluster Index, 34
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 35
Size, 48
poly_A, 24
poly_B, 24

Cluster Index, 36
Size, 25
poly_A, 13
poly_B, 12

Cluster Index, 37
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 38
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 39
Size, 39
poly_A, 21
poly_B, 18

Cluster Index, 40
Size, 10
poly_A, 5
poly_B, 5

Cluster Index, 41
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 42
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 43
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 45
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 47
Size, 7
poly_A, 4
poly_B, 3

Cluster Index, 49
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 50
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 51
Size, 7
poly_A, 3
poly_B, 4

Cluster Index, 52
Size, 8
poly_A, 5
poly_B, 3

Cluster Index, 53
Size, 9
poly_A, 5
poly_B, 4

Cluster Index, 54
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 56
Size, 5
poly_A, 3
poly_B, 2

Cluster Index, 57
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 58
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 59
Size, 6
poly_A, 2
poly_B, 4

Cluster Index, 60
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 61
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 62
Size, 5
poly_A, 3
poly_B, 2

Cluster Index, 63
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 65
Size, 7
poly_A, 4
poly_B, 3

Cluster Index, 66
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 68
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 70
Size, 8
poly_A, 4
poly_B, 4

Cluster Index, 71
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 72
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 73
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 74
Size, 7
poly_A, 4
poly_B, 3

Cluster Index, 75
Size, 25
poly_A, 13
poly_B, 12

Cluster Index, 77
Size, 19
poly_A, 10
poly_B, 9

Cluster Index, 78
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 79
Size, 6
poly_A, 3
poly_B, 3

Cluster Index, 80
Size, 5
poly_A, 2
poly_B, 3

Cluster Index, 81
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 82
Size, 4
poly_A, 3
poly_B, 1

Cluster Index, 83
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 84
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 85
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 86
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 89
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 90
Size, 16
poly_A, 8
poly_B, 8

Cluster Index, 91
Size, 7
poly_A, 3
poly_B, 4

Cluster Index, 92
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 93
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 94
Size, 5
poly_A, 3
poly_B, 2

Cluster Index, 95
Size, 2
poly_A, 1
